gebiet_id;gebiet_name;gebiet_typ;gemeinde_name;CSU_stimmen;CSU_anteil;FREIE WÄHLER/FWO_stimmen;FREIE WÄHLER/FWO_anteil;AfD_stimmen;AfD_anteil;GRÜNE_stimmen;GRÜNE_anteil;SPD_stimmen;SPD_anteil;ÖDP_stimmen;ÖDP_anteil;BP_stimmen;BP_anteil
097775751;Verwaltungsgemeinschaft Westendorf;verbandsgemeinde;Verwaltungsgemeinschaft Westendorf;;;;;;;;;;;;;;
097771390003;Briefwahl Irsee;briefwahlbezirk;Markt Irsee;8890;35,3;3480;13,8;3405;13,5;5032;20,0;1435;5,7;872;3,5;126;0,5
097771510007;Adalbert-Stifter-Schule, Eingang West, Zimmer 060;stimmbezirk;Stadt Marktoberdorf;2555;27,3;2617;27,9;2430;25,9;856;9,1;508;5,4;104;1,1;33;0,4
097771830002;Mehrzweckhalle;stimmbezirk;Gemeinde Rettenbach a.Auerberg;5537;33,5;4010;24,2;3673;22,2;1639;9,9;749;4,5;149;0,9;195;1,2
097771820002;Stimmbezirk 2 (Dösingen);stimmbezirk;Gemeinde Westendorf;3134;32,8;1921;20,1;2528;26,5;756;7,9;247;2,6;81;0,8;151;1,6
09777163;09777163 - Gemeinde Rieden am Forggensee;gemeinde;Gemeinde Rieden am Forggensee;15351;39,9;7060;18,3;3199;8,3;6852;17,8;2035;5,3;999;2,6;212;0,6
09777175;09777175 - Markt Unterthingau;gemeinde;Markt Unterthingau;31427;35,4;24697;27,8;11913;13,4;10187;11,5;3789;4,3;1327;1,5;752;0,8
097771290005;Realschule Zimmer 011;stimmbezirk;Stadt Füssen;3887;41,6;1185;12,7;1796;19,2;690;7,4;1152;12,3;351;3,8;13;0,1
097771590002;Rehbichl, Kreuzegg, Röfleuten, Halden;stimmbezirk;Gemeinde Pfronten;4178;34,9;1449;12,1;1653;13,8;2699;22,5;650;5,4;265;2,2;84;0,7
097771510011;Schule Bertoldshofen, Zimmer 01;stimmbezirk;Stadt Marktoberdorf;2504;24,9;3929;39,0;1026;10,2;1136;11,3;939;9,3;109;1,1;123;1,2
097771290025;Rathaus - Kulturmanagement A.111;briefwahlbezirk;Stadt Füssen;4142;47,9;777;9,0;339;3,9;1017;11,8;1269;14,7;109;1,3;37;0,4
097771540013;Obergünzburg- Stimmbezirk XIII;briefwahlbezirk;Markt Obergünzburg;5983;25,8;8985;38,8;2107;9,1;3624;15,6;959;4,1;220;0,9;157;0,7
09777159;Gemeinde Pfronten;gemeinde;Gemeinde Pfronten;100067;43,8;28157;12,3;21775;9,5;35766;15,6;17891;7,8;6608;2,9;884;0,4
097771180302;Alte Schule Bernbach;stimmbezirk;Gemeinde Bidingen;3052;29,2;2725;26,1;2308;22,1;1004;9,6;458;4,4;271;2,6;87;0,8
097771450003;0003 Dorfhaus Großkitzighofen;stimmbezirk;Gemeinde Lamerdingen;3567;32,1;2271;20,5;1652;14,9;2507;22,6;362;3,3;317;2,9;77;0,7
097771510031;Mittelschule, Klassenzimmer 006, EG;briefwahlbezirk;Stadt Marktoberdorf;6023;30,4;6818;34,4;1289;6,5;2486;12,5;1708;8,6;228;1,2;366;1,8
097771750001;Urnenwahl Unterthingau;stimmbezirk;Markt Unterthingau;7847;39,4;3974;19,9;3198;16,0;2376;11,9;980;4,9;400;2,0;196;1,0
097771180031;Briefwahlbezirk 1 Bidingen;briefwahlbezirk;Gemeinde Bidingen;11754;38,7;7253;23,9;3665;12,1;3595;11,9;1132;3,7;480;1,6;313;1,0
09777118;09777118 - Gemeinde Bidingen;gemeinde;Gemeinde Bidingen;20950;37,1;11829;20,9;10628;18,8;6257;11,1;2120;3,8;913;1,6;575;1,0
097771290033;Rathaus - Bibliothek Büros;briefwahlbezirk;Stadt Füssen;6209;46,4;1672;12,5;496;3,7;1828;13,7;1723;12,9;297;2,2;28;0,2
097771520002;Stimmbezirk 2 Steinholz;stimmbezirk;Gemeinde Mauerstetten;1997;28,4;1440;20,5;1897;27,0;815;11,6;345;4,9;189;2,7;11;0,2
097771530002;Grundschule;stimmbezirk;Markt Nesselwang;4471;31,9;3105;22,2;2105;15,0;2449;17,5;539;3,8;214;1,5;37;0,3
09777138;09777138 - Gemeinde Günzach;gemeinde;Gemeinde Günzach;8779;22,7;14603;37,7;7478;19,3;4474;11,6;942;2,4;276;0,7;189;0,5
097771590014;Briefwahlbezirk 4;briefwahlbezirk;Gemeinde Pfronten;17916;48,1;4792;12,9;2258;6,1;5789;15,5;2540;6,8;991;2,7;203;0,5
09777179;09777179 - Gemeinde Wald;gemeinde;Gemeinde Wald;12815;38,1;9378;27,9;4080;12,1;3664;10,9;1244;3,7;465;1,4;453;1,3
097771400001;0001 Mehrzweckhalle Jengen;stimmbezirk;Gemeinde Jengen;7107;43,0;2839;17,2;3199;19,3;2056;12,4;446;2,7;230;1,4;28;0,2
097771410001;Stimmbezirk 1 (Aufkirch, Altensberg, Eldratshofen und Helmishofen);stimmbezirk;Markt Kaltental;4552;44,8;849;8,4;2131;21,0;1783;17,5;499;4,9;27;0,3;36;0,4
097771510046;Mittelschule, Klassenzimmer 124, OG;briefwahlbezirk;Stadt Marktoberdorf;4700;26,6;5405;30,6;1772;10,0;2746;15,5;1580;8,9;226;1,3;441;2,5
097771290009;Weißensee Schützenhaus Roßmoos;stimmbezirk;Stadt Füssen;4423;45,0;1244;12,6;1578;16,0;1148;11,7;615;6,3;156;1,6;9;0,1
09777155;09777155 - Gemeinde Oberostendorf;gemeinde;Gemeinde Oberostendorf;19077;44,3;6066;14,1;7339;17,1;5118;11,9;2173;5,0;725;1,7;249;0,6
097771290029;Rathaus- Kämmerei B.104;briefwahlbezirk;Stadt Füssen;6318;50,2;1336;10,6;906;7,2;1931;15,3;1377;10,9;128;1,0;16;0,1
097771770004;0004 Dorfhaus Emmenhausen;stimmbezirk;Markt Waal;1997;37,7;1021;19,3;736;13,9;1072;20,2;219;4,1;66;1,2;27;0,5
097771400021;0021 Briefwahl Jengen 1 - Gymnasium Buchloe, EG Zimmer 017;briefwahlbezirk;Gemeinde Jengen;8377;39,8;6060;28,8;1747;8,3;2356;11,2;972;4,6;185;0,9;109;0,5
09777114;09777114 - Gemeinde Baisweil;gemeinde;Gemeinde Baisweil;15952;34,4;12186;26,3;7861;17,0;4284;9,2;1425;3,1;899;1,9;756;1,6
097771240002;Bayersried;stimmbezirk;Gemeinde Eggenthal;2111;39,6;1794;33,7;548;10,3;453;8,5;195;3,7;20;0,4;3;0,1
097771540005;Obg - Stimmbezirk V;stimmbezirk;Markt Obergünzburg;978;12,4;2373;30,0;2665;33,7;1237;15,6;138;1,7;69;0,9;72;0,9
;Mehrzweckhalle;stimmbezirk;Gemeinde Stötten a.Auerberg;9248;39,0;4469;18,9;3416;14,4;3524;14,9;1112;4,7;550;2,3;327;1,4
097771140001;Baisweil;stimmbezirk;Gemeinde Baisweil;3694;30,8;3065;25,5;2478;20,6;1473;12,3;235;2,0;130;1,1;187;1,6
097771540004;Obg - Stimmbezirk IV;stimmbezirk;Markt Obergünzburg;1201;15,3;2481;31,7;1923;24,5;1412;18,0;317;4,0;10;0,1;28;0,4
097775770;Verwaltungsgemeinschaft Roßhaupten;verbandsgemeinde;Verwaltungsgemeinschaft Roßhaupten;;;;;;;;;;;;;;
097771770005;0005 Bürgerheim Waalhaupten;stimmbezirk;Markt Waal;2272;38,9;1579;27,0;582;10,0;810;13,9;105;1,8;139;2,4;20;0,3
097771290028;Rathaus - Stadtkasse B.102;briefwahlbezirk;Stadt Füssen;4790;45,7;804;7,7;388;3,7;1908;18,2;1571;15,0;203;1,9;28;0,3
;Rathaus- Bibliothek Empfang;briefwahlbezirk;Stadt Füssen;5666;44,3;1712;13,4;720;5,6;2135;16,7;1203;9,4;251;2,0;46;0,4
09777154;09777154 - Markt Obergünzburg;gemeinde;Markt Obergünzburg;39795;22,9;62346;35,8;25503;14,6;29763;17,1;6184;3,6;1433;0,8;820;0,5
097771700002;Seeg 2;stimmbezirk;Gemeinde Seeg;3661;32,5;2709;24,1;1593;14,1;1077;9,6;564;5,0;589;5,2;43;0,4
097771290008;Hopfen am See Haus Hopfensee;stimmbezirk;Stadt Füssen;4781;48,0;1122;11,3;1115;11,2;1528;15,3;384;3,9;146;1,5;15;0,2
097771580003;Briefwahl Pforzen;briefwahlbezirk;Gemeinde Pforzen;18810;44,5;8046;19,0;5399;12,8;4179;9,9;2182;5,2;654;1,5;337;0,8
097771730011;Briefwahl 1;briefwahlbezirk;Gemeinde Halblech;10461;45,3;5120;22,2;2138;9,3;2223;9,6;1271;5,5;330;1,4;82;0,4
097771720011;Stimmbezirk 11 (Briefwahl);briefwahlbezirk;Gemeinde Stöttwang;4270;40,3;2004;18,9;996;9,4;1888;17,8;507;4,8;214;2,0;69;0,7
097771630001;Allgemeiner Stimmbezirk;stimmbezirk;Gemeinde Rieden am Forggensee;5085;33,3;2273;14,9;2054;13,4;3384;22,1;625;4,1;651;4,3;34;0,2
097771590015;Briefwahlbezirk 5;briefwahlbezirk;Gemeinde Pfronten;15867;44,8;4568;12,9;2448;6,9;5058;14,3;3488;9,8;1193;3,4;144;0,4
097771520003;Stimmbezirk 3 Frankenried;stimmbezirk;Gemeinde Mauerstetten;3362;48,6;1163;16,8;695;10,0;1045;15,1;343;5,0;73;1,1;29;0,4
09777139;09777139 - Markt Irsee;gemeinde;Markt Irsee;17078;32,8;7440;14,3;7128;13,7;12540;24,1;2875;5,5;1275;2,5;231;0,4
097771290032;Rathaus- Bibliothek Empfang;briefwahlbezirk;Stadt Füssen;5666;44,3;1712;13,4;720;5,6;2135;16,7;1203;9,4;251;2,0;46;0,4
097771210021;0021 Gymnasium Buchloe, EG Zimmer 001;briefwahlbezirk;Stadt Buchloe;7381;38,7;3046;16,0;1617;8,5;2595;13,6;2020;10,6;220;1,2;167;0,9
097771470011;Briefwahlbezirk;briefwahlbezirk;Gemeinde Lechbruck am See;17839;39,8;11197;25,0;4614;10,3;3936;8,8;2302;5,1;818;1,8;330;0,7
097771570001;Stimmbezirk 1 (Osterzell, Oberzell, Stocken, Ödwang);stimmbezirk;Gemeinde Osterzell;4039;36,3;1500;13,5;2769;24,9;1362;12,2;612;5,5;97;0,9;87;0,8
09777158;09777158 - Gemeinde Pforzen;gemeinde;Gemeinde Pforzen;27546;42,7;11879;18,4;10912;16,9;6501;10,1;2860;4,4;860;1,3;523;0,8
097771450002;0002 Schützenheim Dillishausen;stimmbezirk;Gemeinde Lamerdingen;2641;50,1;532;10,1;1050;19,9;424;8,0;342;6,5;60;1,1;3;0,1
097771290024;Rathaus - Gebäudemanagement A.110a;briefwahlbezirk;Stadt Füssen;5983;44,5;1700;12,6;493;3,7;2357;17,5;1679;12,5;307;2,3;46;0,3
097771550012;Stimmbezirk 12 (Briefwahl);briefwahlbezirk;Gemeinde Oberostendorf;5766;49,6;1742;15,0;1272;10,9;1304;11,2;680;5,8;302;2,6;85;0,7
097771540012;Obergünzburg - Stimmbezirk XII;briefwahlbezirk;Markt Obergünzburg;5376;22,2;8760;36,2;3406;14,1;4109;17,0;771;3,2;278;1,2;79;0,3
097771590003;Ried (Gesamt);stimmbezirk;Gemeinde Pfronten;4739;37,3;1238;9,8;1933;15,2;2395;18,9;1280;10,1;463;3,6;82;0,6
097771450022;0022 Briefwahl Lamerdingen 2 - Gymnasium Buchloe, EG Zimmer 021;briefwahlbezirk;Gemeinde Lamerdingen;5887;32,8;4421;24,6;1958;10,9;2291;12,8;1204;6,7;454;2,5;126;0,7
097771510010;Kindergarten Adalbert-Stifter, Gruppenr. EG;stimmbezirk;Stadt Marktoberdorf;4526;31,0;3534;24,2;3193;21,9;1088;7,4;1108;7,6;372;2,5;275;1,9
097771290004;Anton-Sturm-Mittelschule Kl.Zi. 3;stimmbezirk;Stadt Füssen;5850;48,0;1317;10,8;964;7,9;2088;17,1;1187;9,7;398;3,3;7;0,1
097771690001;Schlossbrauhaus;stimmbezirk;Gemeinde Schwangau;6088;36,8;3252;19,7;2764;16,7;1747;10,6;1323;8,0;209;1,3;79;0,5
097771680001;Rückholz 1;stimmbezirk;Gemeinde Rückholz;3687;32,7;2527;22,4;2104;18,7;1381;12,3;303;2,7;334;3,0;105;0,9
097771790011;Wald 11;briefwahlbezirk;Gemeinde Wald;7285;39,7;4828;26,3;1453;7,9;2224;12,1;947;5,2;308;1,7;259;1,4
097771510006;Rathaus, EG, Sozialraum, Zimmer 002;stimmbezirk;Stadt Marktoberdorf;3482;30,9;2928;26,0;1954;17,3;1333;11,8;1098;9,7;139;1,2;137;1,2
097771300011;Briefwahlbezirk 1;briefwahlbezirk;Gemeinde Germaringen;7969;47,5;2737;16,3;2719;16,2;1694;10,1;668;4,0;129;0,8;62;0,4
09777135;09777135 - Gemeinde Hopferau;gemeinde;Gemeinde Hopferau;12203;36,5;9976;29,8;4453;13,3;2384;7,1;1321;4,0;281;0,8;145;0,4
097771310011;Briefwahl Görisried;briefwahlbezirk;Gemeinde Görisried;9744;40,2;4275;17,6;2516;10,4;3713;15,3;1007;4,2;390;1,6;309;1,3
097771210001;0001 Rathaus Buchloe, Kleiner Sitzungssaal;stimmbezirk;Stadt Buchloe;2875;32,4;1055;11,9;1803;20,3;1787;20,1;662;7,4;11;0,1;10;0,1
;Verwaltungsgemeinschaft Stötten a.Auerberg;verbandsgemeinde;Verwaltungsgemeinschaft Stötten a.Auerberg;;;;;;;;;;;;;;
09777169;Gemeinde Schwangau;gemeinde;Gemeinde Schwangau;34364;39,2;19429;22,2;8582;9,8;9784;11,2;7453;8,5;1100;1,3;346;0,4
097771590012;Briefwahlbezirk 2;briefwahlbezirk;Gemeinde Pfronten;15411;52,1;2939;9,9;1448;4,9;4532;15,3;2335;7,9;721;2,4;46;0,2
097771770022;0022 Briefwahl Waal 2 - Gymnasium Buchloe, EG Zimmer 024;briefwahlbezirk;Markt Waal;7226;41,3;3441;19,7;1191;6,8;2434;13,9;1386;7,9;224;1,3;100;0,6
097771820012;Stimmbezirk 12 (Briefwahl);briefwahlbezirk;Gemeinde Westendorf;8638;47,2;2810;15,4;2442;13,4;1620;8,9;931;5,1;264;1,4;221;1,2
097771510040;Mittelschule, Klassenzimmer 104, OG;briefwahlbezirk;Stadt Marktoberdorf;6146;32,5;6396;33,8;1025;5,4;2356;12,4;1761;9,3;300;1,6;368;1,9
09777128;09777128 - Gemeinde Friesenried;gemeinde;Gemeinde Friesenried;16552;34,0;11919;24,5;6027;12,4;6760;13,9;2135;4,4;1774;3,6;318;0,7
09777153;Markt Nesselwang;gemeinde;Markt Nesselwang;35058;35,2;19285;19,3;9087;9,1;16927;17,0;5909;5,9;3180;3,2;393;0,4
097771760002;Untrasried - Stimmbezirk II;stimmbezirk;Gemeinde Untrasried;4729;38,3;2976;24,1;2638;21,4;933;7,6;316;2,6;180;1,5;57;0,5
097771770002;0002 Grundschule Waal;stimmbezirk;Markt Waal;3577;28,2;1417;11,2;2159;17,0;2881;22,7;1150;9,1;340;2,7;68;0,5
09777112;09777112 - Gemeinde Biessenhofen;gemeinde;Gemeinde Biessenhofen;38071;32,9;32689;28,2;16076;13,9;13738;11,9;5872;5,1;2163;1,9;1092;0,9
097771120021;Briefwahlbezirk 1 Biessenhofen;briefwahlbezirk;Gemeinde Biessenhofen;10978;34,7;10386;32,8;2376;7,5;3210;10,1;1980;6,3;502;1,6;389;1,2
097771540003;Obg - Stimmbezirk III;stimmbezirk;Markt Obergünzburg;2500;24,5;3339;32,7;1722;16,9;1557;15,2;488;4,8;37;0,4;40;0,4
097771750011;Briefwahl Unterthingau 1;briefwahlbezirk;Markt Unterthingau;9844;34,9;9061;32,1;2115;7,5;3863;13,7;996;3,5;260;0,9;264;0,9
09777145;09777145 - Gemeinde Lamerdingen;gemeinde;Gemeinde Lamerdingen;26959;36,9;14946;20,5;11378;15,6;9427;12,9;3896;5,3;1137;1,6;422;0,6
097771640001;Mehrzweckhalle Gymnastikraum;stimmbezirk;Gemeinde Rieden;9788;38,2;4953;19,3;6649;26,0;2122;8,3;915;3,6;288;1,1;115;0,4
097771650001;Stimmbezirk 1;stimmbezirk;Markt Ronsberg;4332;23,6;4382;23,8;5245;28,5;2071;11,3;1325;7,2;277;1,5;119;0,6
097771210006;0006 Mittelschule Buchloe, Aula 2;stimmbezirk;Stadt Buchloe;2792;25,8;1082;10,0;2204;20,4;2477;22,9;1185;10,9;173;1,6;61;0,6
097771410011;Stimmbezirk 11 (Briefwahl);briefwahlbezirk;Markt Kaltental;8354;54,6;2593;16,9;1496;9,8;1621;10,6;434;2,8;182;1,2;38;0,2
097771510001;Sankt-Martin-Grundschule, Haupteingang Aula;stimmbezirk;Stadt Marktoberdorf;3259;28,2;1748;15,1;3322;28,8;1753;15,2;932;8,1;178;1,5;102;0,9
09777165;Markt Ronsberg;gemeinde;Markt Ronsberg;10353;26,4;10849;27,7;9054;23,1;4311;11,0;2122;5,4;474;1,2;244;0,6
09777173;Gemeinde Halblech;gemeinde;Gemeinde Halblech;48822;45,2;22203;20,5;13923;12,9;12031;11,1;3964;3,7;1355;1,3;405;0,4
097771520012;Briefwahlbezirk 2;briefwahlbezirk;Gemeinde Mauerstetten;10758;46,9;4663;20,3;2006;8,7;3038;13,2;909;4,0;287;1,3;65;0,3
097771530012;Briefwahl - Rathaus - Sitzungssaal;briefwahlbezirk;Markt Nesselwang;12082;35,0;6608;19,2;2165;6,3;6576;19,1;1998;5,8;1275;3,7;90;0,3
097771290003;Anton-Sturm-Mittelschule Kl.Zi. 2;stimmbezirk;Stadt Füssen;4670;41,1;846;7,5;1484;13,1;2528;22,3;1214;10,7;137;1,2;12;0,1
097771210010;0010 Haus der Begegnung;stimmbezirk;Stadt Buchloe;2617;31,1;1247;14,8;1979;23,5;1144;13,6;601;7,1;39;0,5;78;0,9
097771590004;Berg, Meilingen, Dorf, Heitlern;stimmbezirk;Gemeinde Pfronten;5218;37,5;1594;11,5;2673;19,2;2217;15,9;827;5,9;458;3,3;42;0,3
09777124;09777124 - Gemeinde Eggenthal;gemeinde;Gemeinde Eggenthal;18720;42,8;10276;23,5;5491;12,6;4169;9,5;1362;3,1;580;1,3;303;0,7
